"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_test.max","AUPRC_train","AUPRC_val","AUPRC_val.max","Accuracy_det.min","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_det","F1_det.min","F1_test.max","F1_train","F1_val","F1_val.max","FN_det","FN_det.min","FP_det","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"legendary-sweep-49","nfabjih4","finished","-","mohkoh","","2023-06-24T23:19:01.000Z","2567","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.8368197083473206","0.8527353405952454","0.8417298793792725","0.6674163937568665","","0.7060900330543518","0.6674163937568665","","","0.8155699968338013","0.8184375166893005","0.8223354816436768","","","0.5609002709388733","0.5720599293708801","","0.5885297060012817","","","","","0.42522293200436334","0.42522293200436334","0.009315959345066686"
"robust-sweep-48","nfabjih4","finished","-","mohkoh","","2023-06-24T22:36:04.000Z","2571","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.8403307199478149","0.8481462597846985","0.8417956233024597","0.6680927872657776","","0.6934165954589844","0.6680927872657776","","","0.813438355922699","0.8165624737739563","0.8171455264091492","","","0.5521690845489502","0.5767844319343567","","0.5908812880516052","","","","","0.4206561708722562","0.4206561708722562","0.009315959345066686"
"firm-sweep-47","nfabjih4","finished","-","mohkoh","","2023-06-24T21:53:10.000Z","2574","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8317123651504517","0.827793300151825","0.8417066335678101","0.6584420800209045","","0.6478718519210815","0.6584420800209045","","","0.8119555115699768","0.809374988079071","0.8184430003166199","","","0.5743653774261475","0.5611510872840881","","0.58609539270401","","","","","0.4231842318310763","0.4231842318310763","0.009315959345066686"
"divine-sweep-46","nfabjih4","finished","-","mohkoh","","2023-06-24T21:10:21.000Z","2570","eiatur2m","184.53423006666665","0","2","","","1.5","sinusoidal","0.5","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8289869427680969","0.8224244713783264","0.845207691192627","0.6557233333587646","","0.6398388743400574","0.6557233333587646","","","0.8082484006881714","0.8062499761581421","0.8181649446487427","","","0.5561038255691528","0.5530994534492493","","0.5977573990821838","","","","","0.42527197773329384","0.42527197773329384","0.009315959345066686"
"rich-sweep-45","nfabjih4","finished","-","mohkoh","","2023-06-24T20:27:31.000Z","2569","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.8288242816925049","0.8318279385566711","0.8422014117240906","0.6468175649642944","","0.6617629528045654","0.6468175649642944","","","0.8062094449996948","0.8073958158493042","0.8163114190101624","","","0.5415478944778442","0.5524086356163025","","0.587803304195404","","","","","0.42748932680721896","0.42748932680721896","0.009315959345066686"
"silver-sweep-44","nfabjih4","finished","-","mohkoh","","2023-06-24T19:44:42.000Z","2569","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","8","0","0","0","0","0","0.8391019105911255","0.8316384553909302","0.844560980796814","0.6696044206619263","","0.6677910685539246","0.6696044206619263","","","0.8131603598594666","0.8100000023841858","0.8194624781608582","","","0.5658915042877197","0.5602700114250183","","0.5992692708969116","","","","","0.4202075150752708","0.4202075150752708","0.009315959345066686"
"fiery-sweep-43","nfabjih4","finished","-","mohkoh","","2023-06-24T19:01:45.000Z","2570","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","6","0","0","0","0","0","0.8419593572616577","0.8339604735374451","0.8440654873847961","0.6725877523422241","","0.6564381122589111","0.6725877523422241","","","0.8161260485649109","0.8131250143051147","0.8201112151145935","","","0.5819637775421143","0.572857141494751","","0.6006994247436523","","","","","0.4121588510187453","0.4121588510187453","0.009315959345066686"
"treasured-sweep-42","nfabjih4","finished","-","mohkoh","","2023-06-24T18:18:54.000Z","2571","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","4","0","0","0","0","0","0.8340064287185669","0.8308290839195251","0.8441821336746216","0.6600269079208374","","0.6484737396240234","0.6600269079208374","","","0.8125115633010864","0.809583306312561","0.817979633808136","","","0.5665309429168701","0.5630974769592285","","0.5901774168014526","","","","","0.4218335454892701","0.4218335454892701","0.009315959345066686"
"polar-sweep-41","nfabjih4","finished","-","mohkoh","","2023-06-24T17:36:05.000Z","2570","eiatur2m","184.53423","0","2","","","1.5","sinusoidal","0.25","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","2","0","0","0","0","0","0.8262736797332764","0.809918224811554","0.8440485596656799","0.6470482349395752","","0.6211469173431396","0.6470482349395752","","","0.8050046563148499","0.8016666769981384","0.8154773116111755","","","0.5371755361557007","0.5277778506278992","","0.5880898237228394","","","","","0.42936368866307895","0.42936368866307895","0.009315959345066686"
"legendary-sweep-40","nfabjih4","finished","-","mohkoh","","2023-06-24T16:53:14.000Z","2571","eiatur2m","184.53423","0","2","","","1","sinusoidal","1","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0","0.001","10","10","0","0","0","0","0","0.5906006097793579","0.893006443977356","0.596077024936676","0.3650346994400024","","0.7751662731170654","0.3650346994400024","","","0.7481927871704102","0.8351041674613953","0.7504170536994934","","","0.2145128697156906","0.6109609603881836","","0.3286857008934021","","","","","0.5860869911491687","0.5860869911491687","0.009315959345066686"
