"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","Average data transfer/epoch (MB): ","Average dismissal rate: ","PC: ","autoencoder","batch_size","blending_factor","data_poisoning_method","data_poisoning_prob","detect_anomalies","detection_params.method","detection_params.pooling","detection_params.split","detection_scheduler","detection_similarity","detection_start","detection_tau","detection_tolerance","detection_window","label_flipping_prob","learning_rate","nr_clients","num_malicious","total_MegaFLOPS model","total_MegaFLOPS","total_MegaFLOPS_backprob","total_MegaFLOPS_encoder","total_MegaFLOPS_forward","AUC_test.max","AUC_train","AUC_val.max","AUPRC_test","AUPRC_train","AUPRC_val","Accuracy_test.max","Accuracy_train","Accuracy_val.max","F1_test.max","F1_train","F1_val","F1_val.max","FN_det.min","FP_det.min","Loss_test","Loss_val","dropout_threshold"
"good-sweep-10","t2d54108","finished","-","mohkoh","","2023-06-20T18:56:17.000Z","2548","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.5","0.001","10","10","0","0","0","0","0","0.6368602514266968","0.6389943361282349","0.6844030618667603","0.36184585094451904","0.4145359992980957","0.36184585094451904","0.7197405099868774","0.7356250286102295","0.7292863726615906","0.3890909254550934","0.3695976138114929","","0.4035087525844574","","","0.5482261051577543","0.5482261051577543","0.009315959345066686"
"azure-sweep-9","t2d54108","finished","-","mohkoh","","2023-06-20T18:13:48.000Z","2546","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.5","0.001","10","8","0","0","0","0","0","0.6529115438461304","0.6566519737243652","0.6893258690834045","0.3802404999732971","0.4218051433563232","0.3802404999732971","0.7202965617179871","0.7417708039283752","0.7392029762268066","0.3895630836486816","0.3978625237941742","","0.4008412063121796","","","0.5452221997514616","0.5452221997514616","0.009315959345066686"
"lilac-sweep-8","t2d54108","finished","-","mohkoh","","2023-06-20T17:31:22.000Z","2544","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.5","0.001","10","6","0","0","0","0","0","0.7133246660232544","0.6427460312843323","0.731162428855896","0.5008745789527893","0.4008229374885559","0.5008745789527893","0.7518998980522156","0.7279166579246521","0.7737720012664795","0.11269473284482956","0.21514421701431272","","0.4197531044483185","","","0.5213999302276325","0.5213999302276325","0.009315959345066686"
"skilled-sweep-7","t2d54108","finished","-","mohkoh","","2023-06-20T16:48:55.000Z","2543","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.5","0.001","10","4","0","0","0","0","0","0.7709001302719116","0.7507501840591431","0.7987440824508667","0.5792520046234131","0.5316506028175354","0.5792520046234131","0.7887859344482422","0.7789583206176758","0.7946246266365051","0.4257999360561371","0.37989476323127747","","0.47915711998939514","","","0.48223929706679247","0.48223929706679247","0.009315959345066686"
"charmed-sweep-6","t2d54108","finished","-","mohkoh","","2023-06-20T16:06:22.000Z","2546","35drrpbz","184.53423006666665","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.5","0.001","10","2","0","0","0","0","0","0.8168631792068481","0.8149694204330444","0.8266384601593018","0.6364965438842773","0.621845006942749","0.6364965438842773","0.8026876449584961","0.7987499833106995","0.8095458745956421","0.5155858993530273","0.5241379141807556","","0.542907178401947","","","0.4397698577929876","0.4397698577929876","0.009315959345066686"
"expert-sweep-5","t2d54108","finished","-","mohkoh","","2023-06-20T15:24:03.000Z","2540","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.25","0.001","10","10","0","0","0","0","0","0.7780635356903076","0.7065377831459045","0.7988967895507812","0.5912714004516602","0.4749695360660553","0.5912714004516602","0.7890639305114746","0.7526041865348816","0.8022242784500122","0.44379279017448425","0.343378484249115","","0.5065442323684692","","","0.4851419307939589","0.4851419307939589","0.009315959345066686"
"lunar-sweep-4","t2d54108","finished","-","mohkoh","","2023-06-20T14:42:00.000Z","2525","35drrpbz","184.53423006666665","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.25","0.001","10","8","0","0","0","0","0","0.7578104138374329","0.6918644905090332","0.7961617112159729","0.5638918876647949","0.458836168050766","0.5638918876647949","0.7845227122306824","0.7532291412353516","0.7970342636108398","0.4388124346733093","0.3783783614635467","","0.47445085644721985","","","0.5009467072779312","0.5009467072779312","0.009315959345066686"
"rich-sweep-3","t2d54108","finished","-","mohkoh","","2023-06-20T13:59:57.000Z","2520","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.25","0.001","10","6","0","0","0","0","0","0.774305522441864","0.7109435200691223","0.8084750175476074","0.5940773487091064","0.484671413898468","0.5940773487091064","0.7898980379104614","0.7554166913032532","0.7975903749465942","0.4302588999271393","0.3804749548435211","","0.4736465513706207","","","0.48855807942490065","0.48855807942490065","0.009315959345066686"
"upbeat-sweep-2","t2d54108","finished","-","mohkoh","","2023-06-20T13:17:52.000Z","2523","35drrpbz","184.53423006666665","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.25","0.001","10","4","0","0","0","0","0","0.8054193258285522","0.7816132307052612","0.8331124782562256","0.6195701360702515","0.5786428451538086","0.6195701360702515","0.7974050045013428","0.7890625","0.8129749894142151","0.49162793159484863","0.4404531419277191","","0.5830076336860657","","","0.4514491945827131","0.4514491945827131","0.009315959345066686"
"dazzling-sweep-1","t2d54108","finished","-","mohkoh","","2023-06-20T12:35:58.000Z","2517","35drrpbz","184.53423","0","2","","","0","flat","0","false","similarity","average","knn_10_euclidean","false","cosine","3","0.8","3","2","0.25","0.001","10","2","0","0","0","0","0","0.8302006721496582","0.8175146579742432","0.8421742916107178","0.6513698101043701","0.6331120729446411","0.6513698101043701","0.8075069785118103","0.8041666746139526","0.817979633808136","0.5587422847747803","0.548944354057312","","0.6011701226234436","","","0.4249797833868446","0.4249797833868446","0.009315959345066686"
